#time	ch1	delta1	ch2	delta2
1702	-0.1097655	0.00142842117388	-0.04257812	0.00367866713901
1712	-0.1067627	0.00183360606729	-0.04250489	0.00339423916672
1722	-0.10380855	0.00232583660701	-0.04111329	0.00345301319732
1732	-0.10097668	0.00160907730131	-0.04003906	0.00350577032454
1742	-0.0993164	0.00156625423798	-0.03901367	0.00307227309497
1752	-0.09606934	0.00168174418756	-0.03676759	0.00374928010675
1762	-0.09326173	0.00188793911928	-0.03647461	0.0029765116262
1772	-0.09152831	0.00181536188704	-0.03540039	0.00323152812906
1782	-0.08884277	0.00127540361537	-0.03381349	0.00264585805419
1792	-0.0873779	0.00137869137591	-0.03422852	0.0036780259569
1802	-0.08503418	0.00215078554059	-0.03266603	0.0039665136609
1812	-0.08366699	0.00153652184394	-0.0324707	0.00351256987489
1822	-0.08208007	0.00186507432241	-0.03034669	0.00329554115206
1832	-0.08037109	0.0014721528796	-0.02976075	0.00276742354556
1842	-0.07854005	0.00208893072037	-0.02922362	0.00327558730484
1852	-0.07729492	0.00239008462561	-0.0272461	0.00299446936401
1862	-0.0749756	0.00168245932076	-0.02761231	0.00308518786768
1872	-0.07341308	0.00186908611455	-0.02546387	0.00262278778023
1882	-0.07126466	0.00153031275901	-0.02595215	0.00396087173568
1892	-0.07194823	0.00212289908477	-0.02678222	0.00326648309311
1902	-0.06992187	0.00115135752314	-0.02521973	0.00340931981517
1912	-0.06728513	0.00142442397975	-0.02497559	0.00382928269639
1922	-0.06706543	0.00143212813327	-0.02456055	0.00324844102309
1932	-0.06591797	0.00194700643196	-0.02260741	0.00364121063479
1942	-0.06440429	0.00146810083744	-0.02324218	0.00286342113102
1952	-0.06279297	0.00126292042034	-0.02236327	0.00334963357789
1962	-0.0621582	0.00178475840102	-0.0210449	0.00341763018421
1972	-0.06049806	0.00104039156686	-0.02072752	0.00358387640657
1982	-0.06020508	0.00175101743955	-0.02124024	0.00367186072563
1992	-0.05725098	0.0019569440691	-0.01999512	0.00326537706882
2002	-0.0559082	0.00180400771007	-0.0184082	0.00360337184259
2012	-0.05422363	0.00140439293365	-0.01835938	0.00282992146103
2022	-0.05383301	0.00139073618954	-0.01762694	0.00340888973662
2032	-0.05107422	0.00155868441373	-0.01655274	0.00308969721533
2042	-0.05021971	0.00138559276229	-0.01633301	0.00351842165138
2052	-0.04853516	0.00254140160903	-0.01679689	0.00414867816887
2062	-0.04558104	0.00188495413377	-0.01520996	0.00372032363866
2072	-0.04440918	0.00204392915376	-0.01386719	0.00385990575103
2082	-0.04436036	0.00180083833267	-0.015722644	0.00367705277985
2092	-0.04399414	0.00190303902388	-0.013061528	0.00339741457203
2102	-0.04287109	0.000953087714169	-0.012133792	0.00440273038028
2112	-0.04235839	0.000934459894752	-0.0126709	0.00275231738177
2122	-0.04155273	0.00131382703584	-0.009936525	0.00317204933693
2132	-0.03940429	0.00101370294411	-0.011865242	0.00485859018171
2142	-0.04140625	0.00195068363055	-0.0116455	0.00365404362496
2152	-0.03818359	0.00202562607134	-0.011669923	0.00448687260865
2162	-0.03872071	0.00153322272123	-0.011254877	0.00411497682722
2172	-0.03784179	0.0012304256568	-0.010961903	0.0038824407501
2182	-0.03806154	0.00145442962442	-0.012499991	0.00400092858336
2192	-0.03864746	0.00146908838958	-0.00976562	0.00448315056374
2202	-0.0378174	0.00152249338521	-0.011718746	0.00371864466114
2212	-0.03837891	0.0016551037366	-0.010766602	0.00397949538655
2222	-0.03891602	0.00144104391869	-0.011132818	0.00347024230736
2232	-0.03947755	0.00200149715676	-0.012060552	0.00407093016624
2242	-0.03918457	0.000766215468455	-0.011767576	0.00276170163212
2252	-0.03994141	0.00161650446053	-0.012377937	0.00369299814539
2262	-0.03999023	0.00178006103269	-0.0121338	0.00376807964996
2272	-0.03937987	0.00165240827827	-0.012841801	0.00439481057936
2282	-0.04101561	0.000919993197203	-0.013671866	0.00377747727517
2292	-0.04064941	0.00127910546981	-0.01447755	0.00345103909432
2302	-0.04152831	0.00116804782304	-0.01520996	0.00397589995855
2312	-0.04125976	0.00139394579177	-0.014672842	0.00356889302494
2322	-0.04316406	0.0011070081212	-0.015747078	0.00335327837406
2332	-0.04411621	0.00154040532487	-0.0190918	0.00373271692739
2342	-0.04558106	0.0014812268916	-0.01726075	0.00295814903521
2352	-0.04599611	0.00125059966132	-0.01918946	0.00442724290122
2362	-0.04638673	0.00152074230759	-0.02053221	0.00422503473487
2372	-0.04809571	0.00151288573359	-0.02014161	0.00342188085837
2382	-0.04768065	0.00131949053066	-0.02126464	0.0049052821273
2392	-0.04941407	0.00171316419239	-0.02211914	0.00283076734198
2402	-0.05100097	0.00198176305852	-0.02351075	0.00390633401778
2412	-0.05039063	0.00143276162641	-0.02402344	0.00443799732789
2422	-0.05180664	0.00143109750555	-0.02460937	0.00310511251907
2432	-0.05205078	0.00141853148277	-0.02790527	0.00329917050091
2442	-0.05332032	0.00132467972265	-0.0269287	0.0042693840886
2452	-0.05429687	0.00199599113778	-0.02897948	0.0039002109286
2462	-0.05500488	0.00150121166649	-0.02980956	0.00332506253872
2472	-0.05615234	0.00108083714055	-0.02893066	0.00412482713291
2482	-0.05776365	0.000692243821569	-0.03134765	0.00289530628129
2492	-0.05783691	0.00120818316778	-0.03181152	0.00317393255971
2502	-0.05917968	0.00184063845488	-0.03183594	0.00364121801028
2512	-0.05856933	0.00149883140083	-0.03378904	0.00396560916259
2522	-0.06135254	0.000756838064846	-0.03525389	0.00327584934557
2532	-0.06184083	0.00087377713068	-0.03491211	0.00348360868653
2542	-0.06269531	0.00131836148188	-0.03835448	0.00436385510502
2552	-0.06379395	0.00192561511848	-0.0385254	0.00382576675217
2562	-0.06618651	0.0018607734432	-0.03952638	0.00366609939631
2572	-0.06655274	0.00200789823059	-0.04187012	0.00379676150312
2582	-0.06940917	0.00181076170826	-0.04289551	0.00357155137313
2592	-0.06896975	0.00154117843889	-0.04553222	0.00315356540849
2602	-0.07089844	0.00191053412856	-0.04711913	0.00374102184518
2612	-0.07209473	0.00135073741715	-0.04804686	0.00345921804522
2622	-0.0730957	0.00158298047366	-0.050708	0.00336355074676
2632	-0.07458496	0.00173065716374	-0.05029295	0.00275781808836
2642	-0.07687989	0.00149883889358	-0.05405273	0.00311736992353
2652	-0.07863768	0.00151072011359	-0.05551757	0.00317043952286
2662	-0.08234863	0.00151702999249	-0.05776367	0.00347879470134
2672	-0.08469238	0.00183497728204	-0.06115723	0.00336569333958
2682	-0.08688964	0.00165746466339	-0.06303709	0.00332926965999
2692	-0.08969727	0.00112517328625	-0.06862793	0.00271742747872
2702	-0.08962402	0.0012613026812	-0.06877441	0.00373948702056
2712	-0.08913575	0.00126128274407	-0.06848145	0.00344965585856
2722	-0.08847656	0.00210926711262	-0.06931152	0.00333579115317
2732	-0.08825683	0.00107117129914	-0.0682617	0.00277977003186
2742	-0.08591308	0.00214079854157	-0.06953126	0.00363565241826
2752	-0.08510742	0.00115650127955	-0.06855468	0.0026784498042
2762	-0.08312988	0.00212346231838	-0.06813966	0.0037813479285
2772	-0.08215332	0.00170985356262	-0.06835937	0.00267665767481
2782	-0.08210447	0.00146911448026	-0.0673584	0.00298700349916
2792	-0.08095703	0.00172701614008	-0.06882326	0.00383300229303
2802	-0.07941894	0.00177083149125	-0.06733398	0.00349862812308
2812	-0.07854004	0.00202223333629	-0.06730957	0.00310558215092
2822	-0.07761229	0.0015763708805	-0.06704102	0.00364614157564
2832	-0.07558594	0.00114617364321	-0.06640623	0.0035210614218
